record_id,sector,status,authentic,priority,units,multiplier,bias_key
R0001,water,ACTIVE,1,7,220,1,6375
R0002,emergency,ACTIVE,1,7,220,1,6375
R0003,emergency,ACTIVE,1,6,220,1,6375
R0004,communications,ACTIVE,1,5,220,1,6375
R0005,power,ACTIVE,1,6,220,1,6375
R0006,waste,ACTIVE,1,7,220,1,6375
R0007,communications,ACTIVE,1,7,220,1,6375
R0008,transit,ACTIVE,1,7,220,1,6375
R0009,water,ACTIVE,1,7,220,1,6375
R0010,transit,ACTIVE,1,5,220,1,6375
R0011,traffic,ACTIVE,1,7,220,1,6375
R0012,water,ACTIVE,0,7,114,16,6375
R0013,waste,ACTIVE,1,4,220,1,6375
R0014,waste,ACTIVE,1,4,220,1,6375
R0015,power,ACTIVE,1,6,220,1,6375
R0016,traffic,ACTIVE,1,4,220,1,6375
R0017,transit,ACTIVE,1,5,220,1,6375
R0018,waste,ACTIVE,1,4,220,1,6375
R0019,waste,ACTIVE,1,5,220,1,6375
R0020,water,ACTIVE,1,4,220,1,6375
R0021,communications,ACTIVE,1,7,220,1,6375
R0022,transit,INACTIVE,1,5,140,79,6375
R0023,emergency,ACTIVE,1,7,220,1,6375
R0024,power,ACTIVE,1,7,220,1,6375
R0025,traffic,ACTIVE,1,6,220,1,6375
R0026,waste,ACTIVE,1,6,220,1,6375
R0027,traffic,DEFERRED,1,6,119,116,6375
R0028,emergency,ACTIVE,1,6,220,1,6375
R0029,power,ACTIVE,1,5,220,1,6375
R0030,power,ACTIVE,1,4,220,1,6375
R0031,transit,ACTIVE,1,7,220,1,6375
R0032,emergency,ACTIVE,1,5,220,1,6375
R0033,water,ACTIVE,1,6,220,1,6375
R0034,waste,ACTIVE,1,6,220,1,6375
R0035,traffic,ACTIVE,1,4,220,1,6375
R0036,transit,ACTIVE,1,5,220,1,6375
R0037,traffic,ACTIVE,1,6,220,1,6375
R0038,water,ACTIVE,1,6,220,1,6375
R0039,traffic,ACTIVE,1,6,220,1,6375
R0040,waste,ACTIVE,1,6,220,1,6375
R0041,transit,ACTIVE,1,7,220,1,6375
R0042,waste,ACTIVE,1,7,220,1,6375
R0043,water,ACTIVE,1,5,220,1,6375
R0044,emergency,ACTIVE,1,5,220,1,6375
R0045,transit,ACTIVE,1,5,220,1,6375
R0046,water,ACTIVE,1,4,220,1,6375
R0047,traffic,ACTIVE,1,6,220,1,6375
R0048,water,ACTIVE,1,5,220,1,6375
R0049,transit,ACTIVE,1,7,220,1,6375
R0050,transit,ACTIVE,1,7,220,1,6375
R0051,emergency,ACTIVE,1,6,220,1,6375
R0052,water,ACTIVE,1,6,220,1,6375
R0053,waste,ACTIVE,1,5,220,1,6375
R0054,traffic,ACTIVE,1,5,220,1,6375
R0055,emergency,ACTIVE,1,6,220,1,6375
R0056,traffic,ACTIVE,1,4,220,1,6375
R0057,traffic,ACTIVE,1,4,220,1,6375
R0058,transit,ACTIVE,1,5,220,1,6375
R0059,transit,ACTIVE,1,7,220,1,6375
R0060,waste,ACTIVE,1,4,220,1,6375
R0061,transit,ACTIVE,1,7,220,1,6375
R0062,transit,ACTIVE,1,5,220,1,6375
